2026-03-02 22:32:34,758 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-03-02 22:32:34,778 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-03-02 22:32:34,780 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-03-02 22:32:34,780 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-03-02 22:32:34,782 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-03-02 22:32:34,782 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-03-02 22:32:34,782 INFO  SwAddin.cs: 201 - Setting up command manager
2026-03-02 22:32:34,784 INFO  SwAddin.cs: 204 - Adding command manager
2026-03-02 22:32:34,784 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-03-02 22:32:34,790 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-03-02 22:32:34,790 INFO  SwAddin.cs: 210 - Adding event handlers
2026-03-02 22:32:34,790 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-03-02 22:33:20,267 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1.SLDASM
2026-03-02 22:33:22,213 INFO  SwAddin.cs: 313 - Saving assembly
2026-03-02 22:33:22,374 INFO  SwAddin.cs: 316 - Opening property manager
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1.SLDASM
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1136 - Found 133 in Assem1.SLDASM
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem1.SLDASM
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1160 - 30 components to check
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1.SLDASM
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1136 - Found 133 in Assem1.SLDASM
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem1.SLDASM
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-03-02 22:33:22,435 INFO  ExportHelperExtension.cs: 1160 - 30 components to check
2026-03-02 22:33:22,568 INFO  SwAddin.cs: 339 - Loading config tree
2026-03-02 22:33:22,577 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-03-02 22:33:22,577 INFO  SwAddin.cs: 344 - Showing property manager
